time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T07:24:41.417594\",\"msg\":\"\",\"type\":\"fire\",\"room_id\":2,\"user_id\":1002061125,\"credit\":3000000,\"bullet\":1,\"fishId\":952,\"fish_type\":301,\"after\":688187890000,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=210000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T07:31:17.508659\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":103,\"special_gun\":0,\"cost\":3600000,\"prize\":0}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=215000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T07:37:42.539767\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":103,\"special_gun\":905,\"cost\":0,\"prize\":4800000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=220000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T07:47:51.686896\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":905,\"special_gun\":0,\"cost\":3000000,\"prize\":0}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=225000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T07:55:16.137289\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":202,\"special_gun\":904,\"cost\":0,\"prize\":18000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=230000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T08:03:18.223119\",\"msg\":\"\",\"type\":\"fire\",\"room_id\":2,\"user_id\":1002061070,\"credit\":3000000,\"bullet\":1,\"fishId\":9497,\"fish_type\":303,\"after\":4174392394683,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=235000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T08:13:24.592513\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":301,\"special_gun\":901,\"cost\":0,\"prize\":30000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=240000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T08:24:42.970455\",\"msg\":\"\",\"type\":\"kill\",\"user_id\":1002061070,\"room_id\":2,\"bullet_id\":0,\"fishes\":{\"101\":1},\"drop\":null,\"special_gun_odds\":{},\"odds\":2,\"credit\":6000000,\"after\":4185138394683,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=245000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T08:31:32.353346\",\"msg\":\"\",\"type\":\"fire\",\"room_id\":2,\"user_id\":1002061070,\"credit\":3000000,\"bullet\":1,\"fishId\":15858,\"fish_type\":304,\"after\":4194930394683,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=250000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T08:39:08.271646\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":301,\"special_gun\":0,\"cost\":60000,\"prize\":0}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=255000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T08:47:24.158025\",\"msg\":\"\",\"type\":\"del_bullet\",\"user_id\":1002061125,\"room_id\":2,\"gun\":904,\"bullet_id\":484,\"expire_by\":\"server: drill gun max odds triggerd\",\"mch\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=260000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T08:59:32.033238\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":102,\"special_gun\":0,\"cost\":3000000,\"prize\":9000000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=265000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T09:13:45.765659\",\"msg\":\"\",\"type\":\"sum_fish\",\"fish_id\":205,\"special_gun\":0,\"cost\":3600000,\"prize\":10800000}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=270000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T09:22:49.176673\",\"msg\":\"\",\"type\":\"fire\",\"room_id\":1,\"user_id\":1002061070,\"credit\":3000000,\"bullet\":10,\"fishId\":3018,\"fish_type\":304,\"after\":4241007094683,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=275000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T09:33:11.274970\",\"msg\":\"\",\"type\":\"del_bullet\",\"user_id\":1002059874,\"room_id\":2,\"gun\":904,\"bullet_id\":67,\"expire_by\":\"server: drill gun max odds triggerd\",\"mch\":\"\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=280000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-07-06T09:46:04.686907\",\"msg\":\"\",\"type\":\"process_unused_special_gun\",\"user_id\":1002061071,\"room_id\":2,\"drop_gun\":905,\"bullet_id\":145,\"special_bullets\":{},\"special_gun_odds\":{\"109\":150,\"123\":150,\"134\":150,\"136\":265,\"137\":150,\"138\":144,\"142\":150,\"144\":283,\"145\":150,\"40\":150,\"41\":156,\"46\":103,\"50\":332,\"61\":150,\"65\":294,\"68\":288,\"69\":270,\"72\":150,\"75\":150,\"77\":347,\"79\":150,\"82\":150,\"85\":275},\"bulletodds\":{},\"mch\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=285000)"
